gene	gene groups
AT3G21380	2
AT3G22500	2
AT2G35300	2
AT4G27140	2
AT5G40420	2
AT1G07645	2
AT4G21020	2
AT3G11930	2
AT4G10020	2
AT3G03341	2
AT2G41280	2
AT3G52230	2
AT1G29680	2
AT5G55240	2
AT1G27461	2
AT2G38870	2
AT1G19540	2
AT1G47540	2
AT4G27530	2
AT3G15280	2
AT4G06746	2
AT1G16770	2
AT4G17840	2
AT2G29300	2
AT4G33467	2
AT4G19390	2
AT2G18340	2
AT5G51760	2
AT5G65550	2
AT3G23920	2
AT5G53895	2
AT5G66400	2
AT5G63030	2
AT5G55750	2
AT5G60760	2
